=== Sheet: K系列卫生间参数 ===
L1: TBOX K系列卫生间参数表 |  |  |  |  |  |  |  |  |  | 
L2: 序号 | 型号 | 卫生间名称 | 外形尺寸 （长×宽×高）mm | 打包尺寸 （长×宽×高）mm | 框架颜色 | 墙板颜色 | 单开门类型 | 排气扇类型 | 设备配置 | 备注
L3: 1 | TBOX KS-S1 | 可拆分蹲便器移动厕所(不锈钢) | 1220×1120×2355 | 1230×1130×920 | 白色 | 白色 | 开单门+下排气扇+上圆形观察窗口 | 墙排百叶式 | 蹲便器、三角落地洗手盆、水箱、水枪、地漏、不锈钢防滑地面 | 
L4: 2 |  | 一体式冲水移动厕所(陶瓷版） | 1220×1120×2355 | 1230×1130×920 | 白色 | 白色 | 开单门+下排气扇+上圆形观察窗口 | 墙排百叶式 | 蹲便器、三角落地洗手盆、水箱、水枪、地漏、陶瓷地面 | 
L5: 3 |  | 一体式移动卫浴单元(带淋浴功能） | 1220×1120×2355 | 1230×1130×920 | 白色 | 白色 | 开单门+下排气扇+上圆形观察窗口 | 墙排百叶式 | 蹲便器、三角落地洗手盆、水箱、水枪、花洒、置物架、热水器、地漏、不锈钢防滑地面 | 
L6: 4 | TBOX KS-S2 | 双单元移动厕所 | 2145×1220×2325 | 2150×1230×780 | 白色 | 白色 | 开单门+下排气扇+上圆形观察窗口 | 墙排百叶式 | 蹲便器、三角落地洗手盆、水箱、水枪、地漏、不锈钢防滑地面 | 
L7: 5 | TBOX KS-W1 | 可拆分坐便器移动厕所 | 1220×1120×2355 | 1230×1130×920 | 白色 | 白色 | 开单门+下排气扇+上圆形观察窗口 | 墙排百叶式 | 马桶、三角落地洗手盆、水箱、水枪、地漏、不锈钢防滑地面 | 
L8: 6 | TBOX KS-W2 | 双座便携式厕所 | 2145×1220×2325 | 2150×1230×780 | 白色 | 白色 | 开单门+下排气扇+上圆形观察窗口 | 墙排百叶式 | 马桶、三角落地洗手盆、水箱、水枪、地漏、不锈钢防滑地面 | 
L9: 7 | TBOX KS-B2T1 | 移动双淋浴间 | 3320×1220×2325 | 3330×1230×780 | 白色 | 白色 | 开单门+下排气扇+上圆形观察窗口 | 墙排百叶式 | 花洒、置物架、毛巾架、热水器、地漏、不锈钢防滑地面 | 
L10: 8 | TBOX KS-W1B1 | 便携式带淋浴厕所 | 2145×1220×2325 | 2150×1230×780 | 白色 | 白色 | 开单门+下排气扇+上圆形观察窗口 | 墙排百叶式 | 马桶、三角落地洗手盆、水箱、水枪、花洒、置物架、毛巾架、热水器、地漏、不锈钢防滑地面 | 
L11: 9 |  | 带淋浴功能可拆分移动厕所 | 3320×1220×2325 | 3330×1230×780 | 白色 | 白色 | 开单门+下排气扇+上圆形观察窗口 | 墙排百叶式 | 马桶、蹲便器、三角落地洗手盆、水箱、水枪、花洒、置物架、毛巾架、热水器、地漏、不锈钢防滑地面 | 
L12: 10 | TBOX KS-W1S1 | 便携式蹲坐双厕 | 2145×1220×2325 | 2150×1230×780 | 白色 | 白色 | 开单门+下排气扇+上圆形观察窗口 | 墙排百叶式 | 马桶、蹲便器、三角落地洗手盆、水箱、水枪、地漏、不锈钢防滑地面 | 
L13: 11 | TBOX KS-W1B1E1 | 移动厕所淋浴二合一 | 3320×1220×2325 | 3330×1230×780 | 白色 | 白色 | 开单门+下排气扇+上圆形观察窗口 | 墙排百叶式 | 马桶、三角落地洗手盆、水箱、水枪、花洒、置物架、毛巾架、热水器、地漏、不锈钢防滑地面 | 

